path,width,height,mode,format
..\data\raw\img10091_B_2.jpg,1639,1071,RGB,JPEG
..\data\raw\img10091_B_3.jpg,1049,1069,RGB,JPEG
..\data\raw\img10091_C.jpg,1054,1060,RGB,JPEG
..\data\raw\img10092_single.jpg,1583,1250,RGB,JPEG
..\data\raw\img10093_A.jpg,1440,1179,RGB,JPEG
..\data\raw\img10093_B.jpg,1297,1178,RGB,JPEG
..\data\raw\img10093_C.jpg,1256,1131,RGB,JPEG
..\data\raw\img10093_D.jpg,1206,1267,RGB,JPEG
..\data\raw\img10094_A.jpg,3122,1043,RGB,JPEG
..\data\raw\img10094_B.jpg,1349,1161,RGB,JPEG
..\data\raw\img10094_C.jpg,1820,1119,RGB,JPEG
..\data\raw\img10095_A.jpg,1463,1336,RGB,JPEG
..\data\raw\img10095_B.jpg,1361,1338,RGB,JPEG
..\data\raw\img10096_A.jpg,1044,807,RGB,JPEG
..\data\raw\img10096_B.jpg,1023,803,RGB,JPEG
..\data\raw\img10096_C.jpg,1010,804,RGB,JPEG
..\data\raw\img10096_C_2.jpg,1014,803,RGB,JPEG
..\data\raw\img10096_D.jpg,1041,808,RGB,JPEG
..\data\raw\img10096_E.jpg,1011,793,RGB,JPEG
..\data\raw\img10096_E_2.jpg,1009,796,RGB,JPEG
..\data\raw\img10096_F.jpg,1010,817,RGB,JPEG
..\data\raw\img10096_G.jpg,1033,777,RGB,JPEG
..\data\raw\img10096_H.jpg,1023,771,RGB,JPEG
..\data\raw\img10096_I.jpg,1013,781,RGB,JPEG
..\data\raw\img10097_single.jpg,1721,1199,RGB,JPEG
..\data\raw\img10098_A.jpg,911,679,RGB,JPEG
..\data\raw\img10098_B.jpg,923,687,RGB,JPEG
..\data\raw\img10098_C.jpg,908,684,RGB,JPEG
..\data\raw\img10098_D.jpg,904,680,RGB,JPEG
..\data\raw\img10098_E.jpg,906,685,RGB,JPEG
..\data\raw\img10098_E_2.jpg,904,680,RGB,JPEG
..\data\raw\img10098_F.jpg,894,679,RGB,JPEG
..\data\raw\img10099_A.jpg,622,595,RGB,JPEG
..\data\raw\img10099_B.jpg,614,610,RGB,JPEG
..\data\raw\img10099_C.jpg,608,610,RGB,JPEG
..\data\raw\img10099_D.jpg,610,611,RGB,JPEG
..\data\raw\img10099_E.jpg,603,612,RGB,JPEG
..\data\raw\img10099_E_2.jpg,599,603,RGB,JPEG
..\data\raw\img10099_F.jpg,609,596,RGB,JPEG
..\data\raw\img10099_G.jpg,603,612,RGB,JPEG
..\data\raw\img10099_G_2.jpg,599,603,RGB,JPEG
..\data\raw\img10099_H.jpg,608,613,RGB,JPEG
..\data\raw\img10099_H_2.jpg,590,605,RGB,JPEG
..\data\raw\img10099_I.jpg,608,603,RGB,JPEG
..\data\raw\img10099_I_2.jpg,605,609,RGB,JPEG
..\data\raw\img10099_I_3.jpg,597,610,RGB,JPEG
..\data\raw\img10099_L.jpg,608,603,RGB,JPEG
..\data\raw\img1009_A.jpg,1097,616,RGB,JPEG
..\data\raw\img1009_B.jpg,1127,620,RGB,JPEG
..\data\raw\img1009_C.jpg,1087,611,RGB,JPEG
..\data\raw\img1009_D.jpg,1106,609,RGB,JPEG
